merchant_id,customer_id,amount,currency,payment_method,failure_type,retry_count,customer_total_transactions,customer_successful_transactions,customer_failed_transactions,customer_success_rate,customer_total_spend,days_since_last_success,checkout_duration_seconds,hour_of_day,day_of_week,merchant_category,customer_segment,recovered_within_window
merch_7,cust_637,316.36,INR,upi,TRANSIENT_NETWORK_TIMEOUT,0,33,24,9,0.742,29473.62,12.1,43.3,20,0,ecommerce,vip,1
merch_20,cust_319,6789.49,INR,upi,TRANSIENT_NETWORK_TIMEOUT,2,6,4,2,0.6136,11609.39,11.8,50.9,3,5,ecommerce,new,0
merch_15,cust_87,4403.3,INR,netbanking,CARD_EXPIRED,0,6,4,2,0.6309,2823.91,48.9,57.0,6,4,saas,regular,1
merch_11,cust_553,5768.51,INR,emi,INSUFFICIENT_FUNDS,0,32,21,11,0.6598,46743.43,6.5,14.3,15,0,utility,vip,0
merch_8,cust_982,5615.9,INR,upi,INSUFFICIENT_FUNDS,0,28,24,4,0.8404,13701.35,14.5,22.4,20,5,utility,regular,1
merch_7,cust_698,1599.33,INR,upi,TRANSIENT_NETWORK_TIMEOUT,1,37,29,8,0.7964,48104.63,24.2,47.7,12,4,utility,new,1
merch_19,cust_866,2353.67,INR,upi,INVALID_ACCOUNT,1,29,24,5,0.8105,29427.76,7.4,52.0,0,2,utility,regular,0
merch_11,cust_892,981.43,INR,upi,INSUFFICIENT_FUNDS,3,43,26,17,0.6046,46454.87,4.3,51.4,0,3,ecommerce,regular,1
merch_11,cust_847,4971.26,INR,upi,INSUFFICIENT_FUNDS,2,30,14,16,0.4578,55330.98,24.7,58.9,3,1,education,vip,0
merch_4,cust_778,2647.9,INR,upi,TRANSIENT_NETWORK_TIMEOUT,0,22,20,2,0.9137,41257.86,6.4,30.7,13,0,gaming,new,1
merch_8,cust_783,3724.43,INR,card,CARD_EXPIRED,1,5,2,3,0.4537,9034.09,31.2,16.3,8,6,education,new,0
merch_3,cust_42,1593.58,INR,card,TRANSIENT_NETWORK_TIMEOUT,1,29,24,5,0.8346,41904.64,38.2,33.8,23,2,education,new,1
merch_2,cust_93,4029.09,INR,netbanking,TRANSIENT_NETWORK_TIMEOUT,0,2,1,1,0.5573,1077.52,3.8,16.6,19,4,ecommerce,regular,1
merch_12,cust_697,3943.12,INR,card,INSUFFICIENT_FUNDS,0,10,8,2,0.8217,6161.37,20.6,54.3,20,6,gaming,regular,1
merch_6,cust_727,5196.28,INR,upi,AUTHENTICATION_FAILED,0,46,38,8,0.8194,188644.24,4.2,78.2,6,3,utility,regular,1
merch_2,cust_507,641.28,INR,upi,INSUFFICIENT_FUNDS,1,20,20,0,0.9792,18642.34,6.4,123.0,15,5,ecommerce,regular,0
merch_1,cust_529,3470.5,INR,wallet,AUTHENTICATION_FAILED,0,18,15,3,0.8153,31900.69,30.3,66.4,2,3,ecommerce,new,1
merch_12,cust_956,7455.68,INR,netbanking,TRANSIENT_NETWORK_TIMEOUT,2,45,26,19,0.5719,112108.37,5.0,35.1,15,5,gaming,new,1
merch_12,cust_265,396.13,INR,card,AUTHENTICATION_FAILED,1,35,24,11,0.6853,36487.86,2.6,61.3,19,5,saas,new,0
merch_17,cust_626,11382.02,INR,upi,AUTHENTICATION_FAILED,0,36,27,9,0.75,21374.81,3.4,29.2,2,1,ecommerce,regular,1
merch_10,cust_292,865.22,INR,wallet,AUTHENTICATION_FAILED,0,18,16,2,0.8737,46997.8,11.1,42.5,21,5,education,new,1
merch_16,cust_969,9701.06,INR,upi,INSUFFICIENT_FUNDS,0,12,8,4,0.7081,5258.11,11.8,42.2,1,6,education,at_risk,0
merch_15,cust_464,7137.86,INR,upi,TRANSIENT_NETWORK_TIMEOUT,3,50,31,19,0.6111,115881.82,44.6,55.8,13,4,utility,regular,0
merch_15,cust_804,5196.73,INR,wallet,CARD_EXPIRED,0,46,33,13,0.7227,105648.11,2.0,130.1,20,2,ecommerce,regular,0
merch_19,cust_560,872.52,INR,netbanking,INSUFFICIENT_FUNDS,2,25,12,13,0.4698,18512.54,49.6,51.2,18,3,utility,regular,0
merch_12,cust_819,903.67,INR,card,INSUFFICIENT_FUNDS,1,36,25,11,0.6864,67767.38,40.6,44.0,4,2,ecommerce,regular,1
merch_20,cust_97,1100.58,INR,upi,TRANSIENT_NETWORK_TIMEOUT,1,42,28,14,0.6574,14839.4,11.3,30.9,9,3,gaming,new,1
merch_3,cust_887,5870.98,INR,card,AUTHENTICATION_FAILED,2,41,35,6,0.8622,102868.19,6.9,32.0,3,1,ecommerce,regular,0
merch_5,cust_95,777.55,INR,card,INSUFFICIENT_FUNDS,0,20,12,8,0.5801,47847.11,3.7,53.9,2,2,saas,regular,1
merch_19,cust_326,3093.27,INR,netbanking,TRANSIENT_NETWORK_TIMEOUT,1,48,31,17,0.6478,23636.81,23.6,44.9,0,0,education,regular,1
merch_7,cust_74,5310.36,INR,card,INVALID_ACCOUNT,1,11,9,2,0.8264,13632.45,28.7,58.1,14,0,gaming,regular,0
merch_9,cust_336,2210.74,INR,emi,TRANSIENT_NETWORK_TIMEOUT,3,20,11,9,0.5513,36371.42,42.6,60.6,12,4,education,regular,1
merch_7,cust_68,6480.39,INR,upi,INSUFFICIENT_FUNDS,1,33,23,10,0.7047,16467.52,33.6,19.5,1,6,utility,at_risk,1
merch_18,cust_758,2940.2,INR,upi,INSUFFICIENT_FUNDS,3,10,7,3,0.6727,29183.22,28.9,40.2,0,5,gaming,regular,0
merch_4,cust_918,3214.62,INR,upi,RISK_REJECTED,2,25,20,5,0.8098,39201.02,24.9,71.6,17,4,saas,new,0
merch_14,cust_77,4003.01,INR,card,TRANSIENT_NETWORK_TIMEOUT,2,10,9,1,0.8947,13046.3,17.3,71.1,5,3,education,new,1
merch_18,cust_208,6597.33,INR,card,INSUFFICIENT_FUNDS,2,24,15,9,0.6453,64994.48,4.0,36.8,3,4,ecommerce,vip,1
merch_9,cust_884,66.26,INR,card,INSUFFICIENT_FUNDS,0,41,30,11,0.7328,103333.68,3.4,35.8,10,1,ecommerce,at_risk,1
merch_2,cust_766,1794.73,INR,upi,TRANSIENT_NETWORK_TIMEOUT,1,33,33,0,0.9857,149973.88,1.8,44.5,7,1,ecommerce,regular,1
merch_20,cust_221,11588.13,INR,wallet,INVALID_ACCOUNT,0,34,17,17,0.5084,38384.84,2.5,26.7,17,3,gaming,regular,0
merch_15,cust_262,413.6,INR,upi,AUTHENTICATION_FAILED,0,15,15,0,0.9803,73638.39,8.9,48.1,20,0,saas,regular,1
merch_7,cust_410,980.49,INR,upi,AUTHENTICATION_FAILED,2,40,29,11,0.7304,139126.54,6.2,41.0,12,3,saas,regular,0
merch_12,cust_331,3011.48,INR,card,CARD_EXPIRED,3,24,20,4,0.8439,61296.18,16.9,38.2,6,0,saas,vip,0
merch_8,cust_344,6878.79,INR,upi,AUTHENTICATION_FAILED,0,15,13,2,0.8492,49064.14,2.8,89.0,0,0,education,new,1
merch_15,cust_989,407.9,INR,card,INSUFFICIENT_FUNDS,1,49,33,16,0.6673,71789.98,10.8,86.2,15,0,gaming,regular,1
merch_3,cust_771,64.13,INR,upi,INSUFFICIENT_FUNDS,1,10,8,2,0.7795,6089.54,18.4,28.8,1,0,ecommerce,vip,1
merch_14,cust_820,4115.68,INR,upi,AUTHENTICATION_FAILED,0,5,3,2,0.6709,5954.6,4.9,44.3,0,5,education,new,0
merch_17,cust_74,3233.49,INR,upi,INSUFFICIENT_FUNDS,0,22,15,7,0.7021,24859.12,10.6,66.4,20,3,saas,new,0
merch_4,cust_637,1156.58,INR,upi,INSUFFICIENT_FUNDS,0,37,30,7,0.8189,33149.47,1.0,59.2,21,5,ecommerce,regular,0
merch_18,cust_700,11113.36,INR,upi,INSUFFICIENT_FUNDS,3,31,23,8,0.7417,61727.27,45.9,46.6,20,2,gaming,vip,1
merch_8,cust_254,2916.68,INR,upi,AUTHENTICATION_FAILED,0,23,17,6,0.7357,79941.27,3.4,38.5,9,4,utility,regular,0
merch_4,cust_959,3861.15,INR,card,RISK_REJECTED,0,11,7,4,0.6635,31342.57,26.4,34.2,4,6,saas,vip,0
merch_2,cust_833,1716.26,INR,upi,AUTHENTICATION_FAILED,1,10,7,3,0.7294,12376.31,11.8,33.3,16,4,saas,regular,1
merch_6,cust_820,8960.23,INR,card,TRANSIENT_NETWORK_TIMEOUT,0,35,21,14,0.6035,104978.74,1.5,17.5,0,6,saas,at_risk,0
merch_10,cust_747,1180.74,INR,card,INSUFFICIENT_FUNDS,0,22,12,10,0.5679,55163.02,8.8,83.9,1,6,saas,vip,1
merch_4,cust_986,4885.1,INR,netbanking,AUTHENTICATION_FAILED,0,41,37,4,0.8928,34132.4,8.7,29.3,4,0,ecommerce,regular,1
merch_18,cust_762,484.18,INR,netbanking,TRANSIENT_NETWORK_TIMEOUT,3,22,12,10,0.5361,19097.21,8.7,15.4,11,1,gaming,new,0
merch_12,cust_332,2751.05,INR,upi,INVALID_ACCOUNT,0,37,34,3,0.9296,67355.81,12.3,40.9,2,5,education,vip,0
merch_2,cust_398,3067.88,INR,upi,TRANSIENT_NETWORK_TIMEOUT,0,27,19,8,0.6911,28604.31,22.6,27.9,22,3,ecommerce,vip,1
merch_10,cust_345,780.42,INR,card,INSUFFICIENT_FUNDS,1,1,1,0,0.8639,1134.63,11.1,48.0,7,5,gaming,regular,1
merch_4,cust_584,1419.31,INR,netbanking,RISK_REJECTED,1,5,3,2,0.5467,6921.73,16.7,33.6,20,5,education,new,0
merch_14,cust_747,739.02,INR,upi,AUTHENTICATION_FAILED,0,11,9,2,0.8129,28430.92,2.9,64.2,8,3,saas,new,0
merch_16,cust_836,6575.74,INR,card,AUTHENTICATION_FAILED,0,33,25,8,0.7629,98466.06,10.8,50.4,3,3,gaming,new,0
merch_15,cust_668,3797.02,INR,netbanking,RISK_REJECTED,0,16,13,3,0.8008,58980.58,1.4,22.9,16,4,saas,regular,0
merch_8,cust_455,2119.81,INR,netbanking,AUTHENTICATION_FAILED,1,40,24,16,0.6016,52439.93,27.5,130.1,7,2,gaming,new,0
merch_14,cust_906,2891.6,INR,card,RISK_REJECTED,0,30,24,6,0.7904,80280.67,18.6,76.2,15,6,utility,vip,0
merch_8,cust_115,1525.8,INR,upi,AUTHENTICATION_FAILED,0,28,22,6,0.7733,58105.99,6.7,71.7,3,5,saas,regular,1
merch_16,cust_313,2009.68,INR,upi,AUTHENTICATION_FAILED,3,29,17,12,0.5747,61841.76,2.7,47.0,2,5,saas,regular,0
merch_13,cust_228,3430.76,INR,upi,AUTHENTICATION_FAILED,1,16,14,2,0.8568,53112.75,16.5,84.6,22,3,saas,regular,0
merch_18,cust_834,881.59,INR,upi,TRANSIENT_NETWORK_TIMEOUT,0,1,1,0,0.7829,581.1,10.6,61.3,19,4,ecommerce,regular,1
merch_15,cust_858,553.94,INR,wallet,CARD_EXPIRED,1,8,7,1,0.8519,25343.11,13.5,74.8,1,1,education,regular,0
